,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Fri Dec 15 04:04:44 +0000 2023,1.73551E+18,"@dedy_pram Pastilah, Prabowo Anies nggak punya prestasi...",0,0,0,0,in,7.97761E+17,1.73515E+18,MarahIchsan,https://twitter.com/MarahIchsan/status/1735511179781656951
1,Fri Dec 15 04:04:33 +0000 2023,1.73551E+18,Suasana pedesaan memang selalu menyenangkan... udara segar dengan rimbunnya tumbuhan hijau... sungai jernih penuh ikan-ikan kecil sampai besar yg menarik ...  Angin Dieng yg Gacoan Adidas Semalem bukan Ordal Anies https://t.co/7BXHMzo2Kn,0,0,0,0,in,9.36445E+17,1.73551E+18,Agung_wiyo,https://twitter.com/Agung_wiyo/status/1735511136202813536
2,Fri Dec 15 04:04:31 +0000 2023,1.73551E+18,Program anies hanyalah mengubah nama rumah sakit se Indonesia wkwk!!  JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina #BABYMONSTER #DeathsGame Wonbin BATTER UP 100M VIEWS https://t.co/q63OMtb3Ka,0,0,0,0,in,768652236,1.73551E+18,Alfakton_i,https://twitter.com/Alfakton_i/status/1735511127524851742
3,Fri Dec 15 04:04:27 +0000 2023,1.73551E+18,@kumparan @aniesbaswedan anies... BERBOHONG DAN NIPU TANPA RASA BERSALAH,0,0,0,0,in,1.71082E+18,1.73515E+18,justtheway333,https://twitter.com/justtheway333/status/1735511110340825410
4,Fri Dec 15 04:04:26 +0000 2023,1.73551E+18,Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/9ubCGtY30v,0,0,1,1,in,1.66176E+18,1.73551E+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511105630540090
5,Fri Dec 15 04:04:25 +0000 2023,1.73551E+18,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/5ftxD8kCsB",0,1,1,1,in,1.66176E+18,1.73551E+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511103046893580
6,Fri Dec 15 04:04:15 +0000 2023,1.73551E+18,"@hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya,masih engga paham?dungu berarti",0,0,0,1,in,3157194798,1.73519E+18,7f33229758ab489,https://twitter.com/7f33229758ab489/status/1735511059925229872
7,Fri Dec 15 04:04:13 +0000 2023,1.73551E+18,@brochandra @ainunnajib Wow mantap sekali. Apakah ini artinya bro Anies akan menjadi presiden RI?,0,0,0,0,in,353739058,1.73545E+18,MisterMarmut,https://twitter.com/MisterMarmut/status/1735511049322025409
8,Fri Dec 15 04:04:12 +0000 2023,1.73551E+18,"@ajengcute16__ saya dulu belajar majas  kelas 8 SMP,saya paham apa yang dibilang pak anies. kalo yang ga paham mungkin belum mengenyam kelas 8.",0,0,0,0,in,1.41042E+18,1.73515E+18,id_edx,https://twitter.com/id_edx/status/1735511048718045241
9,Fri Dec 15 04:04:03 +0000 2023,1.73551E+18,"@tvOneNews Kasian kiki, padahal itu fakta, memang si anies jago berkata kata saja demi menarik simpati, padahal implementasinya dijamin NOL. Cth waktu jd mentri dan gubernur aja, kerja nya standar banget. #AniesMuhaimin2024 #AMIN",0,0,0,0,in,1.59686E+18,1.73547E+18,bimasakti_2013,https://twitter.com/bimasakti_2013/status/1735511008104620433
10,Fri Dec 15 04:04:00 +0000 2023,1.73551E+18,@strike_bravo_b anaknya anies cakep bener. dua anak capres yang mukanya ga tengil. ðŸ˜‚ðŸ˜‚,0,0,0,1,in,7.43346E+17,1.73551E+18,FrankSudiro,https://twitter.com/FrankSudiro/status/1735510995450388662
11,Fri Dec 15 04:03:57 +0000 2023,1.73551E+18,"@detikcom Partai yg mendukung pak Anies juga tdk tahan menjadi oposisi,Nasdem dan PKB tuh msh ada yg jabat mentri dan Imin msh jabat wakil ketua DPRRI nampaknya betah banget dgn kekuasaan,MUNDUR DONG",0,0,0,0,in,1.39571E+18,1.73551E+18,Budionotaslim3,https://twitter.com/Budionotaslim3/status/1735510983098105976
12,Fri Dec 15 04:03:57 +0000 2023,1.73551E+18,@blakcrws @ciroooo17 @abu_mahdzuroh Lah dia juga dulu dukung Prabowo yg lebih liberal dari Anies ðŸ¤£  HRS itu lebih ke anti jokowi-pdip sejak kasus ahok ðŸ˜‚,0,0,0,0,in,1.58743E+18,1.73527E+18,milktearoll,https://twitter.com/milktearoll/status/1735510982112526577
13,Fri Dec 15 04:03:55 +0000 2023,1.73551E+18,"@zenrs Asli rada hoream euy, ceunah kebebasan berpendapat. Sugan teh geus balik deui jadi Anies era Nurcholis Madjid Memorial Lecture..",0,0,0,0,in,8.80953E+17,1.7355E+18,chandraknows,https://twitter.com/chandraknows/status/1735510976945181142
14,Fri Dec 15 04:03:53 +0000 2023,1.73551E+18,Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/tRKFoSFe2g,0,0,1,1,in,1.66167E+18,1.73551E+18,AlirizaOctarina,https://twitter.com/AlirizaOctarina/status/1735510969391231101
15,Fri Dec 15 04:03:53 +0000 2023,1.73551E+18,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/md7FP2HoqF",0,1,1,1,in,1.66167E+18,1.73551E+18,AlirizaOctarina,https://twitter.com/AlirizaOctarina/status/1735510966669066276
16,Fri Dec 15 04:03:43 +0000 2023,1.73551E+18,Itu yang bilang Anies modal kata doang tapi pacarannya di Eco Park Tebet musuhin aja,0,0,0,0,in,1.01477E+18,1.73551E+18,visav99,https://twitter.com/visav99/status/1735510926038856059
17,Fri Dec 15 04:03:41 +0000 2023,1.73551E+18,@imanlagi Tapi sayangnya kebanyakan msh pendukung anies yg dateng mas. Baru yg di lampung kemaren berani bgt.  Tapi ya mereka juga kayaknya bisa dibilang takut sih kalo hadepan lgsg buat desak anies wkwk,0,0,0,0,in,1.36175E+18,1.73551E+18,dolken234,https://twitter.com/dolken234/status/1735510916551381115
18,Fri Dec 15 04:03:37 +0000 2023,1.73551E+18,@nur595912246375 @jansen_jsp @PDemokrat Anies dan PKS,0,0,0,0,in,1.53165E+18,1.73525E+18,Aby_zaky_,https://twitter.com/Aby_zaky_/status/1735510898473844903
19,Fri Dec 15 04:03:33 +0000 2023,1.73551E+18,Gerindra Bantah soal Anies Bilang Prabowo Bisnisnya Macet Gegara Jadi OposisiÂ  https://t.co/eCtiuAJFsg,0,0,0,0,in,788744100,1.73551E+18,Riau24Com,https://twitter.com/Riau24Com/status/1735510885169570172
20,Fri Dec 15 04:03:31 +0000 2023,1.73551E+18,"@dhemit_is_back Anies ikut dalam menguburkan Harun tahun 2019, ada beritanya itu. Apakah masih dikatakan HOAX padahal beliau ikut dalam penguburannya.",0,0,0,0,in,1.70904E+18,1.73551E+18,nameItAllSarah,https://twitter.com/nameItAllSarah/status/1735510873652023642
